feature,importance
num__diff_shots_on_target_avg,0.07115996617279849
num__diff_shots_avg,0.07076122749417947
num__away_last5_shots_avg,0.0687807995732751
num__home_last5_shots_avg,0.06288507572481795
num__home_last5_shots_on_target_avg,0.05840904624122595
num__away_last5_shots_on_target_avg,0.05374592909556843
num__diff_goal_diff_avg,0.0534835012687639
num__diff_points_avg,0.0507948221662682
num__away_last5_goal_diff_avg,0.044802057413607745
num__diff_home_strength,0.04050278167774633
num__away_last5_goals_against_avg,0.04017615377855644
num__away_last5_goals_for_avg,0.03924466508418744
num__home_last5_goal_diff_avg,0.038816243261532046
num__away_last5_points_avg,0.0387271041404668
num__home_last5_goals_for_avg,0.03796889447770053
num__home_last5_points_avg,0.03344076688377061
num__home_last5_goals_against_avg,0.032777086820062126
num__away_away_last5_points_avg,0.02944421404438168
num__home_home_last5_points_avg,0.029213865063628653
num__home_days_since_last_match,0.028684843202425352
num__away_days_since_last_match,0.02829948507620237
num__diff_days_rest,0.01943040033614973
cat__competition_name_Premier League,0.0076057502502735845
cat__competition_name_Ligue 1,0.007364269737614691
cat__competition_name_La Liga,0.007045331690518543
cat__competition_name_Serie A,0.0064357193242778185
cat__season_name_2015/2016,0.0
